TSNE1,TSNE2,Segmentation_ref
-5.4770603,-18.42214,B
20.357355,28.675014,A
-0.54996395,-37.470924,A
27.073675,34.82275,B
-26.989143,6.8460827,A
32.66334,30.449852,C
-1.7219719,25.38341,D
45.787415,-17.210365,D
32.716015,8.812624,B
-61.09459,4.8731656,B
-62.890347,-2.6345618,D
-32.775917,1.7654961,D
34.211426,8.552205,A
-42.98994,24.322916,D
-54.702374,-7.236515,D
-1.3462691,-33.554462,C
37.646812,-7.309308,D
26.968943,14.755526,B
0.92933095,28.876282,B
53.63605,-14.188762,C
42.30759,28.413519,A
56.45324,15.71113,D
-37.408424,-32.127693,A
45.29408,28.833303,B
17.87095,34.05737,B
36.110703,29.67092,B
14.157755,-29.597216,A
-32.9528,-12.824525,B
68.18069,1.0452385,A
58.156376,22.881573,C
5.0531907,-45.22334,C
17.305708,23.507381,A
-58.748886,-10.887855,B
35.92954,9.674226,D
11.894611,31.86699,D
-17.985033,44.8578,C
21.15809,-38.014606,A
29.187784,16.001528,B
34.922623,9.55292,C
47.972828,18.701189,B
-53.216625,6.9503865,A
29.812578,35.725155,D
-47.59811,14.0139,A
48.25923,-11.828938,C
64.94755,1.3453084,A
67.24166,0.72548836,C
-22.273703,21.265652,B
27.764273,14.491538,D
-35.932213,23.983883,D
42.522564,23.05667,B
56.86833,22.690393,B
2.8754911,-45.3169,C
-20.791044,-18.114681,A
32.406345,-1.5854254,B
34.373608,36.898914,D
69.23226,11.284936,C
-42.137207,-28.3421,A
-13.463285,-25.165873,D
-21.06152,-23.181545,B
26.149015,12.897766,D
-51.160343,14.308548,C
48.109753,-22.011248,C
43.135143,22.957396,A
42.88667,-20.0802,A
20.488447,-18.386908,A
-20.659523,37.407974,D
-40.178726,-38.061325,C
70.19873,11.971733,A
-29.52839,11.718859,B
48.10536,-2.0947423,B
-24.304491,-4.590424,D
56.227192,1.8420167,C
47.714317,-22.289127,C
-34.426712,-13.789365,D
-23.565056,-22.72115,B
68.47656,11.847795,D
7.7041683,-41.997375,B
48.293465,-20.211542,A
51.15022,-10.426595,C
43.304817,-21.312267,D
-6.0573034,15.419397,A
53.25592,-14.159792,D
68.49795,0.36017963,D
-35.988163,-30.358225,D
17.155657,-36.69656,D
38.713608,12.553953,A
68.86926,12.36568,C
-35.42748,25.776281,A
-23.521576,-22.560062,D
-24.805882,28.750982,D
51.91065,23.508554,B
66.4876,11.705624,C
-43.80408,-32.38821,C
17.860518,-32.82846,A
-43.949715,-40.92283,B
42.342625,-27.348795,C
-38.550842,-38.674988,B
-58.831287,-1.2585758,C
31.440826,16.014505,B
-0.5301761,-33.159847,B
16.070822,-20.527884,C
-43.28698,-29.47063,B
15.979519,-25.721521,A
-24.48471,-12.878552,D
19.73658,-26.54933,D
-44.756252,-38.731346,A
-24.09503,-2.1746612,D
7.735907,-44.794434,D
19.756874,32.143135,C
57.260197,2.822718,D
